@Ciudad
n=256
m=256
@Datos
d1=13
d2=11
dn=24
@Distritos
D21 1,27;2,47;3,60;4,70;5,83;6,103;7,109;8,110;9,92;10,72;11,50;12,40;13,20;14,12;15,0;16,0;17,0;18,0;19,0;20,0;21,0;22,0;23,0;24,0
D151 1,1;2,17;3,36;4,60;5,83;6,86;7,110;8,130;9,143;10,153;11,169;12,191;13,207;14,230;15,253;16,259;17,260;18,250;19,248;20,234;21,232;22,223;23,204;24,178
D281 1,27;2,54;3,79;4,104;5,120;6,152;7,182;8,209;9,229;10,235;11,223;12,217;13,197;14,188;15,179;16,175;17,174;18,165;19,149;20,143;21,135;22,121;23,96;24,76
D411 1,1;2,24;3,46;4,58;5,62;6,80;7,96;8,105;9,127;10,131;11,142;12,164;13,168;14,170;15,186;16,161;17,138;18,120;19,108;20,83;21,69;22,47;23,32;24,28
D541 1,28;2,42;3,53;4,75;5,100;6,111;7,132;8,147;9,152;10,178;11,182;12,196;13,200;14,207;15,232;16,220;17,205;18,183;19,181;20,172;21,157;22,149;23,147;24,128
D671 1,1;2,5;3,24;4,36;5,61;6,68;7,87;8,98;9,126;10,138;11,161;12,177;13,181;14,209;15,227;16,205;17,204;18,179;19,177;20,173;21,162;22,157;23,145;24,138
D801 1,9;2,19;3,42;4,57;5,71;6,95;7,113;8,126;9,141;10,146;11,151;12,174;13,190;14,216;15,221;16,227;17,237;18,219;19,206;20,199;21,190;22,171;23,169;24,145
D931 1,26;2,27;3,33;4,55;5,75;6,80;7,95;8,96;9,101;10,121;11,131;12,142;13,148;14,166;15,190;16,191;17,207;18,194;19,180;20,178;21,158;22,136;23,112;24,107
D1061 1,24;2,30;3,60;4,67;5,79;6,104;7,134;8,144;9,147;10,172;11,190;12,215;13,218;14,206;15,203;16,185;17,166;18,138;19,132;20,122;21,113;22,101;23,76;24,75
D1191 1,30;2,43;3,64;4,73;5,88;6,101;7,120;8,130;9,152;10,167;11,191;12,194;13,195;14,191;15,188;16,176;17,166;18,160;19,159;20,140;21,127;22,118;23,106;24,82
D1321 1,9;2,23;3,28;4,46;5,56;6,69;7,85;8,86;9,110;10,115;11,126;12,136;13,150;14,156;15,165;16,171;17,194;18,193;19,178;20,171;21,170;22,168;23,157;24,134
D1451 1,3;2,24;3,43;4,59;5,68;6,75;7,87;8,106;9,113;10,143;11,164;12,174;13,199;14,187;15,169;16,151;17,148;18,127;19,115;20,88;21,79;22,51;23,26;24,7
D1581 1,14;2,15;3,20;4,27;5,33;6,38;7,53;8,66;9,68;10,84;11,104;12,123;13,142;14,156;15,157;16,159;17,182;18,159;19,144;20,128;21,115;22,112;23,105;24,103
D1711 1,32;2,66;3,94;4,117;5,142;6,150;7,170;8,192;9,191;10,176;11,168;12,162;13,142;14,139;15,112;16,85;17,82;18,69;19,37;20,32;21,0;22,0;23,0;24,0
D1841 1,23;2,46;3,48;4,54;5,56;6,57;7,76;8,82;9,106;10,130;11,137;12,147;13,170;14,175;15,191;16,205;17,214;18,203;19,179;20,176;21,156;22,130;23,116;24,94
D1971 1,18;2,46;3,68;4,73;5,98;6,99;7,114;8,119;9,114;10,84;11,59;12,49;13,43;14,37;15,36;16,26;17,25;18,22;19,0;20,0;21,0;22,0;23,0;24,0
D2101 1,4;2,30;3,38;4,49;5,70;6,72;7,95;8,100;9,122;10,131;11,147;12,168;13,176;14,198;15,205;16,177;17,175;18,161;19,142;20,123;21,98;22,89;23,63;24,58
D2231 1,8;2,9;3,18;4,30;5,46;6,74;7,86;8,105;9,137;10,169;11,147;12,123;13,106;14,95;15,76;16,64;17,60;18,33;19,17;20,0;21,0;22,0;23,0;24,0
D2361 1,3;2,24;3,49;4,62;5,63;6,82;7,100;8,112;9,124;10,145;11,151;12,167;13,189;14,159;15,129;16,123;17,102;18,74;19,49;20,21;21,0;22,0;23,0;24,0
D2491 1,1;2,19;3,43;4,57;5,70;6,88;7,97;8,108;9,122;10,135;11,159;12,178;13,202;14,212;15,217;16,240;17,263;18,249;19,239;20,237;21,223;22,209;23,186;24,163
D1312 1,22;2,30;3,52;4,71;5,93;6,112;7,137;8,148;9,164;10,172;11,198;12,224;13,228;14,244;15,258;16,239;17,235;18,209;19,183;20,160;21,139;22,127;23,112;24,89
