@Ciudad
n=38
m=27
@Datos
d1=4
d2=7
dn=21
@Distritos
D21 1,22;2,36;3,63;4,75;5,92;6,106;7,122;8,138;9,165;10,146;11,118;12,107;13,101;14,71;15,44;16,28;17,0;18,0;19,0;20,0;21,0
D61 1,16;2,46;3,67;4,68;5,74;6,95;7,110;8,111;9,141;10,142;11,146;12,125;13,95;14,82;15,67;16,40;17,22;18,12;19,2;20,0;21,0
D101 1,19;2,22;3,48;4,55;5,70;6,89;7,99;8,112;9,131;10,151;11,153;12,177;13,203;14,217;15,224;16,211;17,205;18,194;19,191;20,181;21,155
D141 1,28;2,34;3,53;4,69;5,73;6,100;7,109;8,113;9,143;10,134;11,115;12,96;13,85;14,82;15,66;16,47;17,38;18,24;19,10;20,0;21,0
D181 1,22;2,38;3,52;4,57;5,66;6,92;7,120;8,132;9,139;10,150;11,176;12,204;13,208;14,193;15,165;16,151;17,135;18,133;19,118;20,110;21,105
D221 1,18;2,50;3,63;4,90;5,122;6,128;7,155;8,147;9,134;10,112;11,90;12,80;13,57;14,40;15,39;16,33;17,28;18,0;19,0;20,0;21,0
D261 1,2;2,13;3,35;4,58;5,83;6,87;7,103;8,114;9,130;10,137;11,145;12,166;13,191;14,172;15,171;16,152;17,134;18,132;19,120;20,101;21,100
D301 1,15;2,32;3,37;4,59;5,70;6,90;7,91;8,69;9,42;10,22;11,0;12,0;13,0;14,0;15,0;16,0;17,0;18,0;19,0;20,0;21,0
D341 1,18;2,20;3,29;4,44;5,48;6,64;7,89;8,117;9,131;10,138;11,160;12,161;13,172;14,147;15,139;16,132;17,118;18,117;19,103;20,102;21,93
D381 1,12;2,42;3,49;4,58;5,65;6,95;7,108;8,129;9,147;10,166;11,193;12,172;13,163;14,153;15,135;16,125;17,103;18,100;19,70;20,42;21,14
D98 1,1;2,12;3,21;4,24;5,41;6,58;7,90;8,101;9,131;10,104;11,103;12,76;13,67;14,47;15,39;16,35;17,26;18,4;19,0;20,0;21,0
D138 1,6;2,34;3,35;4,38;5,54;6,78;7,79;8,97;9,113;10,114;11,142;12,135;13,114;14,104;15,83;16,79;17,57;18,41;19,37;20,24;21,0
D178 1,19;2,37;3,53;4,68;5,84;6,110;7,136;8,139;9,141;10,167;11,189;12,198;13,216;14,239;15,263;16,237;17,219;18,199;19,192;20,169;21,167
D218 1,28;2,38;3,41;4,66;5,75;6,99;7,114;8,127;9,134;10,143;11,146;12,134;13,130;14,112;15,87;16,65;17,64;18,42;19,26;20,7;21,1
D258 1,8;2,30;3,48;4,55;5,69;6,76;7,84;8,85;9,96;10,104;11,119;12,133;13,152;14,136;15,129;16,127;17,112;18,87;19,71;20,64;21,57
D298 1,11;2,29;3,47;4,59;5,84;6,110;7,126;8,127;9,153;10,176;11,185;12,196;13,208;14,199;15,194;16,180;17,172;18,171;19,169;20,154;21,126
D338 1,6;2,7;3,14;4,30;5,43;6,71;7,90;8,96;9,118;10,122;11,129;12,104;13,86;14,83;15,71;16,43;17,19;18,0;19,0;20,0;21,0
D378 1,2;2,23;3,51;4,79;5,80;6,82;7,96;8,100;9,126;10,134;11,157;12,159;13,175;14,161;15,145;16,140;17,115;18,107;19,81;20,76;21,68
D418 1,28;2,37;3,56;4,88;5,100;6,130;7,155;8,166;9,167;10,163;11,162;12,130;13,118;14,104;15,80;16,74;17,66;18,60;19,30;20,29;21,13
D458 1,22;2,37;3,42;4,45;5,46;6,57;7,84;8,78;9,48;10,37;11,20;12,0;13,0;14,0;15,0;16,0;17,0;18,0;19,0;20,0;21,0
D1615 1,17;2,37;3,38;4,65;5,95;6,111;7,123;8,126;9,154;10,145;11,136;12,122;13,121;14,110;15,99;16,95;17,86;18,59;19,55;20,25;21,19
D2015 1,7;2,9;3,30;4,58;5,67;6,95;7,120;8,136;9,141;10,159;11,185;12,201;13,202;14,188;15,162;16,141;17,139;18,127;19,105;20,77;21,52
D2415 1,3;2,12;3,18;4,21;5,24;6,25;7,55;8,82;9,91;10,71;11,57;12,45;13,33;14,14;15,8;16,0;17,0;18,0;19,0;20,0;21,0
D2815 1,10;2,34;3,48;4,53;5,62;6,67;7,69;8,87;9,93;10,100;11,120;12,127;13,134;14,156;15,175;16,170;17,151;18,129;19,110;20,86;21,73
