@Ciudad
n=64
m=64
@Datos
d1=14
d2=12
dn=20
@Distritos
D21 1,23;2,29;3,48;4,68;5,79;6,102;7,116;8,138;9,147;10,173;11,188;12,208;13,217;14,231;15,233;16,227;17,201;18,198;19,185;20,165
D161 1,28;2,47;3,65;4,67;5,89;6,108;7,113;8,127;9,142;10,156;11,164;12,186;13,194;14,186;15,182;16,156;17,144;18,139;19,118;20,106
D301 1,26;2,54;3,76;4,102;5,120;6,139;7,146;8,174;9,181;10,200;11,228;12,233;13,245;14,231;15,208;16,204;17,181;18,163;19,154;20,153
D441 1,20;2,44;3,54;4,73;5,97;6,119;7,124;8,147;9,157;10,181;11,188;12,189;13,208;14,214;15,236;16,229;17,213;18,194;19,179;20,177
D581 1,6;2,26;3,53;4,78;5,97;6,129;7,153;8,172;9,189;10,170;11,151;12,139;13,112;14,82;15,71;16,54;17,32;18,2;19,0;20,0
D1413 1,27;2,49;3,81;4,108;5,114;6,122;7,133;8,163;9,177;10,155;11,133;12,113;13,89;14,72;15,42;16,25;17,24;18,0;19,0;20,0
D2813 1,14;2,31;3,50;4,59;5,79;6,83;7,97;8,103;9,119;10,118;11,88;12,80;13,68;14,57;15,25;16,14;17,13;18,0;19,0;20,0
D4213 1,13;2,18;3,46;4,59;5,82;6,88;7,111;8,96;9,86;10,68;11,60;12,52;13,39;14,12;15,0;16,0;17,0;18,0;19,0;20,0
D5613 1,20;2,31;3,63;4,68;5,91;6,109;7,114;8,103;9,83;10,82;11,76;12,51;13,21;14,8;15,0;16,0;17,0;18,0;19,0;20,0
D7013 1,3;2,27;3,42;4,44;5,55;6,71;7,87;8,92;9,97;10,103;11,114;12,129;13,151;14,177;15,179;16,176;17,157;18,156;19,132;20,121
D2625 1,18;2,25;3,26;4,48;5,74;6,84;7,94;8,103;9,129;10,144;11,151;12,174;13,194;14,197;15,215;16,200;17,181;18,163;19,147;20,137
D4025 1,32;2,48;3,49;4,60;5,69;6,93;7,118;8,138;9,150;10,142;11,138;12,130;13,113;14,83;15,59;16,43;17,42;18,23;19,1;20,0
D5425 1,1;2,7;3,8;4,31;5,36;6,53;7,66;8,43;9,18;10,1;11,0;12,0;13,0;14,0;15,0;16,0;17,0;18,0;19,0;20,0
D6825 1,10;2,22;3,34;4,43;5,70;6,79;7,94;8,107;9,131;10,155;11,158;12,131;13,122;14,101;15,74;16,61;17,39;18,17;19,0;20,0
D8225 1,19;2,43;3,63;4,66;5,92;6,105;7,121;8,127;9,145;10,156;11,163;12,165;13,187;14,200;15,202;16,191;17,188;18,162;19,151;20,142
D3837 1,32;2,64;3,92;4,116;5,130;6,144;7,160;8,192;9,198;10,166;11,136;12,119;13,113;14,88;15,87;16,55;17,28;18,0;19,0;20,0
D5237 1,28;2,52;3,73;4,88;5,104;6,107;7,117;8,135;9,145;10,161;11,174;12,146;13,142;14,117;15,89;16,88;17,84;18,75;19,65;20,35
D6637 1,26;2,50;3,74;4,94;5,117;6,119;7,124;8,133;9,134;10,140;11,158;12,159;13,165;14,185;15,188;16,186;17,176;18,175;19,157;20,148
D8037 1,19;2,23;3,42;4,48;5,49;6,71;7,81;8,111;9,138;10,154;11,178;12,162;13,147;14,119;15,110;16,97;17,85;18,66;19,39;20,36
D9437 1,11;2,14;3,28;4,31;5,44;6,55;7,69;8,80;9,90;10,105;11,128;12,147;13,161;14,183;15,197;16,196;17,194;18,187;19,181;20,167
D5049 1,26;2,42;3,44;4,63;5,74;6,97;7,109;8,111;9,112;10,131;11,150;12,151;13,167;14,151;15,140;16,119;17,105;18,104;19,88;20,63
D6449 1,2;2,9;3,16;4,30;5,49;6,75;7,84;8,89;9,103;10,121;11,145;12,152;13,157;14,173;15,196;16,180;17,154;18,131;19,120;20,97
D7849 1,10;2,37;3,62;4,80;5,81;6,86;7,101;8,90;9,70;10,59;11,53;12,42;13,22;14,0;15,0;16,0;17,0;18,0;19,0;20,0
D9249 1,25;2,36;3,48;4,76;5,100;6,120;7,144;8,158;9,166;10,146;11,127;12,107;13,79;14,75;15,43;16,18;17,0;18,0;19,0;20,0
D10649 1,30;2,57;3,76;4,100;5,101;6,115;7,116;8,124;9,151;10,147;11,123;12,112;13,95;14,81;15,80;16,56;17,47;18,31;19,7;20,0
D6261 1,19;2,33;3,35;4,54;5,80;6,108;7,119;8,138;9,159;10,164;11,171;12,183;13,190;14,189;15,188;16,184;17,176;18,150;19,148;20,146
D7661 1,5;2,26;3,51;4,77;5,95;6,103;7,125;8,153;9,179;10,204;11,229;12,237;13,241;14,237;15,236;16,211;17,186;18,170;19,148;20,129
D9061 1,8;2,25;3,28;4,51;5,59;6,87;7,110;8,97;9,79;10,68;11,36;12,25;13,5;14,0;15,0;16,0;17,0;18,0;19,0;20,0
D10461 1,5;2,13;3,35;4,53;5,75;6,86;7,91;8,74;9,66;10,58;11,47;12,15;13,0;14,0;15,0;16,0;17,0;18,0;19,0;20,0
D11861 1,27;2,30;3,50;4,77;5,85;6,95;7,118;8,86;9,54;10,36;11,19;12,9;13,0;14,0;15,0;16,0;17,0;18,0;19,0;20,0
