@Ciudad
n=32
m=32
@Datos
d1=7
d2=4
dn=32
@Distritos
D21 1,13;2,25;3,41;4,60;5,64;6,80;7,110;8,126;9,139;10,152;11,170;12,179;13,207;14,237;15,264;16,285;17,309;18,297;19,279;20,269;21,262;22,237;23,227;24,197;25,196;26,171;27,167;28,145;29,136;30,123;31,107;32,82
D91 1,9;2,37;3,65;4,82;5,107;6,135;7,147;8,179;9,188;10,218;11,229;12,238;13,262;14,245;15,244;16,235;17,205;18,194;19,172;20,155;21,141;22,121;23,91;24,71;25,43;26,16;27,0;28,0;29,0;30,0;31,0;32,0
D161 1,10;2,15;3,20;4,48;5,78;6,89;7,117;8,145;9,156;10,161;11,133;12,120;13,92;14,74;15,69;16,63;17,45;18,44;19,19;20,6;21,0;22,0;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0;31,0;32,0
D231 1,28;2,42;3,54;4,68;5,77;6,89;7,103;8,104;9,128;10,147;11,169;12,189;13,201;14,192;15,160;16,141;17,111;18,105;19,73;20,70;21,67;22,56;23,53;24,25;25,3;26,0;27,0;28,0;29,0;30,0;31,0;32,0
D301 1,28;2,39;3,41;4,60;5,65;6,93;7,114;8,115;9,131;10,143;11,144;12,148;13,173;14,195;15,220;16,241;17,249;18,277;19,293;20,305;21,297;22,282;23,270;24,268;25,254;26,232;27,206;28,187;29,178;30,150;31,125;32,116
D65 1,10;2,15;3,18;4,33;5,67;6,94;7,112;8,137;9,169;10,175;11,160;12,150;13,144;14,139;15,121;16,113;17,86;18,71;19,49;20,29;21,6;22,5;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0;31,0;32,0
D135 1,22;2,28;3,37;4,53;5,56;6,59;7,86;8,96;9,118;10,125;11,149;12,153;13,165;14,169;15,190;16,206;17,221;18,205;19,177;20,173;21,155;22,151;23,127;24,121;25,93;26,77;27,65;28,41;29,23;30,20;31,0;32,0
D205 1,30;2,62;3,63;4,88;5,115;6,121;7,153;8,168;9,178;10,201;11,188;12,175;13,158;14,126;15,103;16,92;17,87;18,55;19,49;20,29;21,21;22,0;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0;31,0;32,0
D275 1,2;2,21;3,27;4,47;5,62;6,75;7,91;8,115;9,134;10,156;11,162;12,164;13,178;14,202;15,218;16,238;17,257;18,279;19,284;20,303;21,318;22,331;23,355;24,350;25,347;26,342;27,324;28,319;29,305;30,290;31,288;32,265
D345 1,26;2,41;3,55;4,73;5,101;6,117;7,118;8,130;9,131;10,133;11,158;12,163;13,186;14,211;15,213;16,222;17,223;18,228;19,236;20,250;21,249;22,231;23,224;24,196;25,181;26,167;27,145;28,117;29,105;30,83;31,62;32,43
