@Ciudad
n=91
m=38
@Datos
d1=3
d2=4
dn=35
@Distritos
D21 1,5;2,16;3,23;4,42;5,63;6,72;7,87;8,91;9,92;10,118;11,134;12,156;13,164;14,171;15,172;16,187;17,203;18,211;19,219;20,224;21,242;22,261;23,250;24,236;25,232;26,210;27,206;28,194;29,173;30,164;31,150;32,139;33,117;34,98;35,76
D51 1,5;2,28;3,37;4,65;5,81;6,104;7,113;8,125;9,134;10,138;11,142;12,161;13,187;14,198;15,206;16,231;17,256;18,258;19,276;20,298;21,326;22,334;23,315;24,308;25,301;26,287;27,283;28,278;29,266;30,244;31,230;32,223;33,221;34,217;35,210
D81 1,34;2,61;3,64;4,65;5,99;6,129;7,144;8,167;9,195;10,206;11,226;12,225;13,205;14,188;15,183;16,149;17,139;18,119;19,92;20,91;21,90;22,84;23,67;24,49;25,38;26,16;27,6;28,0;29,0;30,0;31,0;32,0;33,0;34,0;35,0
D111 1,28;2,40;3,70;4,73;5,97;6,118;7,127;8,137;9,155;10,168;11,175;12,185;13,215;14,233;15,263;16,276;17,304;18,317;19,296;20,284;21,269;22,259;23,250;24,222;25,203;26,190;27,174;28,167;29,146;30,125;31,121;32,109;33,108;34,98;35,97
D141 1,3;2,15;3,24;4,25;5,40;6,70;7,74;8,86;9,108;10,124;11,133;12,143;13,167;14,195;15,214;16,221;17,237;18,240;19,237;20,228;21,212;22,202;23,190;24,163;25,145;26,126;27,123;28,93;29,72;30,59;31,47;32,46;33,27;34,21;35,18
D171 1,18;2,48;3,75;4,87;5,111;6,126;7,142;8,146;9,170;10,171;11,180;12,198;13,219;14,226;15,241;16,253;17,277;18,296;19,281;20,277;21,247;22,237;23,227;24,200;25,184;26,178;27,168;28,138;29,114;30,99;31,77;32,58;33,46;34,43;35,36
D201 1,28;2,36;3,45;4,56;5,86;6,97;7,113;8,143;9,168;10,182;11,212;12,236;13,260;14,277;15,285;16,255;17,233;18,206;19,192;20,184;21,160;22,130;23,103;24,86;25,78;26,54;27,24;28,18;29,1;30,0;31,0;32,0;33,0;34,0;35,0
D231 1,20;2,47;3,53;4,54;5,71;6,77;7,83;8,89;9,95;10,104;11,118;12,122;13,128;14,158;15,162;16,134;17,114;18,87;19,68;20,54;21,46;22,45;23,33;24,27;25,0;26,0;27,0;28,0;29,0;30,0;31,0;32,0;33,0;34,0;35,0
D261 1,10;2,28;3,34;4,64;5,74;6,78;7,105;8,117;9,144;10,169;11,176;12,188;13,216;14,219;15,232;16,239;17,246;18,253;19,223;20,205;21,184;22,162;23,137;24,118;25,102;26,87;27,62;28,52;29,39;30,29;31,14;32,8;33,0;34,0;35,0
D291 1,1;2,19;3,41;4,54;5,67;6,72;7,78;8,94;9,97;10,113;11,119;12,125;13,134;14,143;15,167;16,176;17,186;18,193;19,211;20,213;21,219;22,243;23,258;24,284;25,304;26,285;27,276;28,267;29,241;30,227;31,222;32,213;33,189;34,182;35,167
D321 1,17;2,45;3,58;4,83;5,84;6,101;7,129;8,134;9,157;10,180;11,188;12,187;13,159;14,149;15,127;16,93;17,75;18,55;19,52;20,32;21,5;22,0;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0;31,0;32,0;33,0;34,0;35,0
D351 1,13;2,28;3,38;4,50;5,78;6,102;7,132;8,133;9,142;10,169;11,190;12,200;13,227;14,248;15,272;16,296;17,297;18,301;19,292;20,264;21,246;22,228;23,200;24,181;25,151;26,132;27,113;28,83;29,70;30,51;31,32;32,22;33,3;34,0;35,0
D381 1,18;2,46;3,71;4,91;5,116;6,139;7,140;8,165;9,166;10,174;11,204;12,172;13,171;14,170;15,138;16,115;17,102;18,94;19,72;20,64;21,32;22,5;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0;31,0;32,0;33,0;34,0;35,0
D411 1,5;2,14;3,15;4,38;5,45;6,65;7,74;8,90;9,93;10,112;11,113;12,128;13,152;14,176;15,182;16,187;17,197;18,221;19,239;20,240;21,249;22,256;23,270;24,285;25,288;26,275;27,273;28,247;29,228;30,219;31,208;32,184;33,170;34,151;35,145
D441 1,20;2,30;3,35;4,57;5,58;6,59;7,70;8,98;9,101;10,133;11,163;12,157;13,146;14,133;15,110;16,99;17,67;18,66;19,55;20,35;21,5;22,2;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0;31,0;32,0;33,0;34,0;35,0
D471 1,8;2,33;3,37;4,51;5,65;6,81;7,82;8,109;9,139;10,167;11,184;12,212;13,224;14,232;15,248;16,247;17,225;18,208;19,194;20,167;21,137;22,117;23,106;24,79;25,70;26,61;27,55;28,31;29,0;30,0;31,0;32,0;33,0;34,0;35,0
D501 1,18;2,29;3,34;4,39;5,49;6,63;7,66;8,68;9,70;10,92;11,115;12,129;13,145;14,171;15,173;16,186;17,196;18,202;19,212;20,225;21,234;22,241;23,256;24,261;25,267;26,262;27,246;28,223;29,200;30,193;31,173;32,168;33,155;34,132;35,130
D531 1,5;2,29;3,48;4,54;5,69;6,72;7,94;8,101;9,124;10,148;11,172;12,195;13,202;14,220;15,222;16,236;17,256;18,265;19,285;20,307;21,329;22,353;23,355;24,379;25,393;26,370;27,350;28,348;29,326;30,303;31,277;32,272;33,254;34,253;35,247
D561 1,5;2,7;3,10;4,23;5,47;6,61;7,64;8,74;9,92;10,106;11,115;12,118;13,120;14,131;15,149;16,171;17,182;18,191;19,217;20,232;21,255;22,278;23,292;24,308;25,315;26,302;27,296;28,289;29,287;30,272;31,253;32,227;33,214;34,205;35,196
