@Ciudad
n=1000
m=1000
@Datos
d1=41
d2=52
dn=10
@Distritos
D21 1,15;2,38;3,52;4,75;5,95;6,115;7,120;8,140;9,134;10,111
D431 1,4;2,7;3,22;4,34;5,46;6,64;7,39;8,38;9,11;10,0
D841 1,27;2,57;3,77;4,86;5,111;6,89;7,59;8,42;9,25;10,24
D1251 1,14;2,37;3,38;4,39;5,44;6,49;7,56;8,71;9,69;10,47
D1661 1,14;2,38;3,41;4,55;5,59;6,50;7,25;8,22;9,10;10,0
D2071 1,2;2,17;3,45;4,49;5,71;6,94;7,95;8,77;9,63;10,35
D2481 1,23;2,28;3,44;4,49;5,68;6,80;7,108;8,82;9,71;10,70
D2891 1,15;2,28;3,50;4,80;5,81;6,105;7,102;8,75;9,63;10,57
D3301 1,21;2,27;3,33;4,45;5,60;6,90;7,68;8,55;9,34;10,33
D3711 1,7;2,17;3,30;4,45;5,52;6,70;7,94;8,113;9,98;10,76
D4121 1,22;2,46;3,49;4,53;5,80;6,48;7,31;8,17;9,1;10,0
D4531 1,22;2,39;3,40;4,57;5,68;6,54;7,42;8,22;9,0;10,0
D4941 1,14;2,40;3,41;4,62;5,71;6,96;7,105;8,100;9,81;10,59
D5351 1,16;2,28;3,55;4,85;5,91;6,110;7,91;8,69;9,47;10,22
D5761 1,22;2,46;3,55;4,77;5,91;6,102;7,121;8,127;9,120;10,117
D6171 1,3;2,19;3,32;4,33;5,53;6,69;7,95;8,106;9,88;10,62
D6581 1,11;2,39;3,43;4,48;5,57;6,78;7,89;8,64;9,56;10,47
D6991 1,19;2,38;3,56;4,61;5,63;6,72;7,77;8,95;9,80;10,79
D7401 1,7;2,20;3,26;4,46;5,56;6,67;7,81;8,103;9,96;10,72
D7811 1,16;2,24;3,43;4,61;5,75;6,94;7,122;8,120;9,109;10,108
D8221 1,11;2,18;3,40;4,54;5,56;6,58;7,70;8,59;9,57;10,50
D8631 1,8;2,15;3,40;4,48;5,57;6,66;7,91;8,66;9,61;10,52
D9041 1,1;2,11;3,24;4,30;5,15;6,0;7,0;8,0;9,0;10,0
D9451 1,3;2,33;3,34;4,59;5,54;6,32;7,19;8,2;9,0;10,0
D9861 1,16;2,20;3,48;4,52;5,80;6,99;7,107;8,84;9,56;10,34
D5453 1,2;2,28;3,46;4,47;5,58;6,65;7,84;8,98;9,93;10,77
D9553 1,23;2,39;3,54;4,77;5,93;6,104;7,124;8,150;9,135;10,125
D13653 1,34;2,42;3,62;4,79;5,57;6,47;7,22;8,14;9,13;10,2
D17753 1,9;2,18;3,20;4,41;5,63;6,91;7,106;8,91;9,68;10,54
D21853 1,11;2,33;3,48;4,71;5,37;6,5;7,0;8,0;9,0;10,0
D25953 1,25;2,33;3,41;4,60;5,71;6,89;7,96;8,88;9,62;10,44
D30053 1,24;2,27;3,31;4,59;5,70;6,38;7,34;8,7;9,0;10,0
D34153 1,2;2,30;3,56;4,58;5,83;6,85;7,86;8,77;9,73;10,59
