@Ciudad
n=50
m=50
@Datos
d1=8
d2=3
dn=15
@Distritos
D21 1,6;2,31;3,40;4,49;5,50;6,61;7,65;8,61;9,50;10,31;11,3;12,0;13,0;14,0;15,0
D101 1,20;2,39;3,51;4,83;5,115;6,126;7,145;8,136;9,122;10,100;11,80;12,68;13,65;14,43;15,27
D181 1,10;2,31;3,52;4,82;5,86;6,87;7,96;8,102;9,89;10,77;11,65;12,55;13,28;14,15;15,0
D261 1,7;2,20;3,27;4,30;5,43;6,71;7,87;8,109;9,82;10,78;11,62;12,34;13,9;14,0;15,0
D341 1,22;2,27;3,45;4,56;5,67;6,69;7,92;8,114;9,128;10,134;11,135;12,125;13,115;14,104;15,84
D421 1,4;2,22;3,23;4,44;5,68;6,77;7,81;8,94;9,67;10,58;11,37;12,12;13,0;14,0;15,0
D501 1,27;2,39;3,42;4,51;5,64;6,89;7,114;8,126;9,111;10,98;11,92;12,86;13,68;14,44;15,17
D54 1,15;2,22;3,38;4,48;5,72;6,91;7,95;8,122;9,116;10,88;11,75;12,62;13,40;14,15;15,0
D134 1,4;2,6;3,21;4,32;5,40;6,52;7,64;8,85;9,103;10,131;11,103;12,98;13,72;14,61;15,47
D214 1,14;2,40;3,56;4,84;5,103;6,124;7,126;8,134;9,145;10,159;11,141;12,116;13,112;14,93;15,84
D294 1,14;2,32;3,46;4,57;5,72;6,98;7,113;8,139;9,162;10,185;11,191;12,189;13,176;14,154;15,149
D374 1,22;2,39;3,62;4,89;5,117;6,94;7,77;8,72;9,62;10,32;11,19;12,1;13,0;14,0;15,0
D454 1,14;2,40;3,62;4,64;5,66;6,76;7,77;8,78;9,89;10,92;11,110;12,88;13,86;14,83;15,59
D534 1,18;2,39;3,50;4,57;5,65;6,87;7,109;8,118;9,133;10,152;11,144;12,122;13,104;14,79;15,56
D87 1,30;2,38;3,41;4,61;5,74;6,73;7,58;8,45;9,20;10,0;11,0;12,0;13,0;14,0;15,0
D167 1,1;2,10;3,29;4,35;5,42;6,62;7,67;8,73;9,95;10,108;11,122;12,104;13,78;14,71;15,61
D247 1,9;2,22;3,23;4,32;5,56;6,69;7,72;8,73;9,54;10,39;11,29;12,7;13,0;14,0;15,0
D327 1,1;2,13;3,36;4,45;5,57;6,59;7,67;8,88;9,103;10,112;11,108;12,100;13,81;14,69;15,41
D407 1,7;2,18;3,27;4,30;5,45;6,69;7,74;8,87;9,113;10,120;11,143;12,133;13,109;14,90;15,74
D487 1,1;2,3;3,29;4,33;5,55;6,81;7,95;8,114;9,136;10,164;11,152;12,130;13,114;14,91;15,90
D567 1,1;2,2;3,24;4,33;5,46;6,53;7,80;8,89;9,59;10,29;11,2;12,0;13,0;14,0;15,0
D1110 1,16;2,44;3,71;4,75;5,97;6,125;7,139;8,107;9,96;10,90;11,81;12,49;13,37;14,5;15,0
D1910 1,5;2,11;3,24;4,54;5,71;6,58;7,47;8,29;9,2;10,0;11,0;12,0;13,0;14,0;15,0
D2710 1,17;2,47;3,57;4,63;5,73;6,50;7,30;8,24;9,9;10,0;11,0;12,0;13,0;14,0;15,0
D3510 1,20;2,35;3,46;4,70;5,77;6,101;7,119;8,134;9,135;10,154;11,170;12,157;13,141;14,130;15,111
D4310 1,5;2,28;3,48;4,75;5,86;6,80;7,79;8,76;9,48;10,23;11,0;12,0;13,0;14,0;15,0
D5110 1,16;2,35;3,53;4,57;5,78;6,91;7,112;8,131;9,109;10,84;11,83;12,58;13,46;14,34;15,10
D5910 1,2;2,28;3,29;4,57;5,83;6,88;7,111;8,127;9,134;10,146;11,128;12,126;13,119;14,104;15,83
D1413 1,1;2,12;3,18;4,26;5,48;6,80;7,89;8,77;9,63;10,35;11,7;12,0;13,0;14,0;15,0
D2213 1,22;2,33;3,49;4,63;5,65;6,67;7,85;8,105;9,106;10,122;11,123;12,113;13,89;14,69;15,59
D3013 1,22;2,35;3,51;4,64;5,94;6,119;7,149;8,177;9,147;10,141;11,113;12,94;13,79;14,67;15,66
D3813 1,30;2,42;3,51;4,79;5,83;6,107;7,129;8,112;9,104;10,72;11,53;12,28;13,14;14,6;15,3
D4613 1,9;2,32;3,36;4,55;5,83;6,94;7,119;8,141;9,148;10,171;11,157;12,145;13,141;14,122;15,99
D5413 1,20;2,42;3,62;4,74;5,93;6,110;7,129;8,113;9,93;10,90;11,63;12,52;13,48;14,37;15,7
D6213 1,28;2,29;3,32;4,60;5,76;6,100;7,120;8,96;9,68;10,59;11,37;12,17;13,14;14,6;15,0
D1716 1,32;2,47;3,72;4,90;5,91;6,66;7,38;8,15;9,0;10,0;11,0;12,0;13,0;14,0;15,0
D2516 1,17;2,42;3,67;4,95;5,113;6,96;7,88;8,82;9,72;10,71;11,65;12,55;13,32;14,15;15,0
D3316 1,32;2,60;3,90;4,98;5,130;6,149;7,181;8,180;9,161;10,158;11,139;12,135;13,127;14,118;15,96
D4116 1,4;2,7;3,8;4,25;5,47;6,56;7,76;8,64;9,36;10,6;11,0;12,0;13,0;14,0;15,0
D4916 1,26;2,34;3,60;4,86;5,91;6,116;7,128;8,137;9,165;10,172;11,164;12,162;13,144;14,132;15,128
D5716 1,25;2,48;3,73;4,90;5,117;6,109;7,103;8,83;9,49;10,32;11,4;12,0;13,0;14,0;15,0
D6516 1,12;2,44;3,56;4,62;5,76;6,104;7,123;8,103;9,95;10,70;11,62;12,30;13,21;14,2;15,0
D2019 1,34;2,44;3,47;4,67;5,77;6,43;7,9;8,0;9,0;10,0;11,0;12,0;13,0;14,0;15,0
D2819 1,7;2,20;3,39;4,50;5,59;6,70;7,81;8,84;9,107;10,116;11,122;12,115;13,101;14,87;15,80
D3619 1,23;2,35;3,46;4,58;5,69;6,90;7,106;8,124;9,132;10,148;11,120;12,111;13,85;14,80;15,75
D4419 1,28;2,32;3,55;4,63;5,75;6,98;7,102;8,114;9,133;10,154;11,131;12,116;13,109;14,94;15,76
D5219 1,5;2,26;3,33;4,44;5,72;6,80;7,101;8,117;9,139;10,151;11,132;12,125;13,124;14,112;15,96
D6019 1,23;2,32;3,45;4,71;5,84;6,86;7,89;8,111;9,124;10,146;11,166;12,147;13,141;14,119;15,100
D6819 1,23;2,35;3,51;4,59;5,84;6,112;7,137;8,149;9,167;10,174;11,159;12,131;13,109;14,101;15,97
D2322 1,16;2,42;3,61;4,87;5,94;6,104;7,119;8,128;9,129;10,135;11,155;12,152;13,145;14,139;15,138
D3122 1,3;2,27;3,34;4,50;5,52;6,63;7,68;8,94;9,97;10,113;11,116;12,102;13,76;14,53;15,37
D3922 1,25;2,51;3,58;4,69;5,76;6,91;7,96;8,97;9,109;10,116;11,98;12,73;13,58;14,51;15,25
D4722 1,23;2,24;3,34;4,47;5,64;6,63;7,31;8,1;9,0;10,0;11,0;12,0;13,0;14,0;15,0
D5522 1,23;2,31;3,41;4,73;5,86;6,63;7,48;8,16;9,0;10,0;11,0;12,0;13,0;14,0;15,0
D6322 1,30;2,54;3,58;4,86;5,111;6,123;7,142;8,117;9,106;10,87;11,55;12,35;13,31;14,27;15,13
D7122 1,25;2,48;3,71;4,98;5,109;6,98;7,93;8,80;9,48;10,30;11,29;12,18;13,1;14,0;15,0
D2625 1,9;2,28;3,38;4,66;5,81;6,99;7,106;8,124;9,120;10,99;11,90;12,60;13,51;14,41;15,13
D3425 1,11;2,33;3,61;4,86;5,104;6,98;7,70;8,65;9,48;10,45;11,40;12,15;13,0;14,0;15,0
D4225 1,7;2,26;3,48;4,54;5,59;6,65;7,80;8,85;9,96;10,114;11,124;12,115;13,112;14,97;15,81
D5025 1,24;2,46;3,60;4,63;5,80;6,92;7,98;8,86;9,58;10,36;11,32;12,21;13,9;14,0;15,0
D5825 1,15;2,34;3,37;4,44;5,63;6,75;7,96;8,105;9,101;10,86;11,76;12,51;13,35;14,16;15,15
D6625 1,24;2,40;3,61;4,71;5,87;6,109;7,115;8,137;9,121;10,111;11,81;12,59;13,38;14,28;15,6
D7425 1,18;2,43;3,58;4,70;5,74;6,82;7,84;8,112;9,137;10,156;11,151;12,125;13,123;14,102;15,90
D2928 1,9;2,21;3,46;4,68;5,87;6,103;7,115;8,112;9,84;10,75;11,56;12,50;13,28;14,19;15,15
D3728 1,11;2,18;3,21;4,28;5,46;6,57;7,76;8,100;9,103;10,118;11,129;12,107;13,91;14,81;15,71
D4528 1,3;2,25;3,36;4,55;5,60;6,63;7,64;8,84;9,104;10,114;11,125;12,114;13,103;14,97;15,94
D5328 1,19;2,20;3,47;4,74;5,98;6,120;7,136;8,160;9,135;10,122;11,109;12,106;13,79;14,78;15,65
D6128 1,11;2,18;3,23;4,49;5,52;6,57;7,59;8,83;9,92;10,93;11,96;12,74;13,55;14,49;15,30
D6928 1,11;2,43;3,62;4,86;5,89;6,114;7,130;8,116;9,108;10,81;11,80;12,60;13,49;14,21;15,0
D7728 1,5;2,14;3,19;4,22;5,31;6,53;7,58;8,81;9,83;10,97;11,99;12,98;13,89;14,83;15,73
D3231 1,30;2,39;3,63;4,66;5,87;6,108;7,111;8,114;9,96;10,81;11,53;12,43;13,28;14,7;15,0
D4031 1,11;2,38;3,55;4,66;5,96;6,126;7,143;8,131;9,103;10,86;11,61;12,58;13,34;14,23;15,0
D4831 1,4;2,28;3,47;4,51;5,59;6,75;7,99;8,90;9,62;10,53;11,28;12,24;13,15;14,1;15,0
D5631 1,8;2,10;3,18;4,23;5,25;6,43;7,51;8,67;9,90;10,95;11,87;12,79;13,78;14,59;15,51
D6431 1,11;2,28;3,37;4,43;5,67;6,81;7,92;8,67;9,59;10,27;11,2;12,0;13,0;14,0;15,0
D7231 1,1;2,5;3,20;4,43;5,45;6,49;7,72;8,80;9,87;10,95;11,81;12,59;13,40;14,38;15,27
D8031 1,18;2,29;3,47;4,54;5,59;6,63;7,74;8,97;9,115;10,127;11,113;12,87;13,73;14,71;15,62
D3534 1,27;2,49;3,64;4,71;5,101;6,123;7,129;8,154;9,150;10,123;11,101;12,77;13,50;14,41;15,35
D4334 1,17;2,42;3,46;4,74;5,75;6,92;7,112;8,101;9,81;10,54;11,38;12,22;13,0;14,0;15,0
D5134 1,3;2,6;3,17;4,20;5,21;6,20;7,14;8,0;9,0;10,0;11,0;12,0;13,0;14,0;15,0
D5934 1,27;2,46;3,70;4,95;5,120;6,132;7,154;8,143;9,121;10,99;11,82;12,58;13,30;14,2;15,0
D6734 1,3;2,22;3,38;4,43;5,49;6,63;7,89;8,104;9,114;10,127;11,146;12,141;13,130;14,110;15,90
D7534 1,18;2,24;3,39;4,69;5,86;6,78;7,65;8,59;9,56;10,41;11,9;12,0;13,0;14,0;15,0
D8334 1,15;2,47;3,79;4,101;5,133;6,110;7,80;8,65;9,45;10,15;11,0;12,0;13,0;14,0;15,0
D3837 1,11;2,23;3,51;4,70;5,79;6,83;7,111;8,105;9,77;10,47;11,22;12,0;13,0;14,0;15,0
D4637 1,18;2,24;3,27;4,32;5,54;6,26;7,11;8,0;9,0;10,0;11,0;12,0;13,0;14,0;15,0
D5437 1,3;2,6;3,7;4,20;5,26;6,35;7,42;8,48;9,30;10,26;11,10;12,3;13,0;14,0;15,0
D6237 1,6;2,34;3,47;4,51;5,78;6,94;7,97;8,118;9,88;10,84;11,83;12,73;13,66;14,59;15,40
D7037 1,19;2,37;3,45;4,67;5,69;6,85;7,93;8,101;9,126;10,140;11,132;12,123;13,101;14,85;15,84
D7837 1,20;2,23;3,46;4,66;5,94;6,69;7,59;8,37;9,10;10,0;11,0;12,0;13,0;14,0;15,0
D8637 1,19;2,23;3,50;4,66;5,87;6,102;7,105;8,117;9,90;10,66;11,57;12,30;13,5;14,0;15,0
D4140 1,20;2,21;3,38;4,47;5,59;6,68;7,93;8,89;9,67;10,63;11,41;12,40;13,15;14,0;15,0
D4940 1,14;2,19;3,37;4,63;5,67;6,69;7,78;8,101;9,129;10,134;11,132;12,125;13,104;14,93;15,71
D5740 1,6;2,32;3,41;4,50;5,73;6,86;7,100;8,106;9,121;10,130;11,152;12,139;13,124;14,106;15,104
D6540 1,23;2,39;3,63;4,73;5,95;6,96;7,114;8,138;9,154;10,170;11,179;12,160;13,150;14,147;15,133
D7340 1,2;2,18;3,31;4,51;5,77;6,84;7,99;8,118;9,141;10,146;11,157;12,143;13,130;14,110;15,104
D8140 1,9;2,24;3,45;4,57;5,65;6,74;7,82;8,89;9,94;10,109;11,93;12,68;13,61;14,35;15,10
D8940 1,8;2,19;3,25;4,30;5,41;6,16;7,0;8,0;9,0;10,0;11,0;12,0;13,0;14,0;15,0
D4443 1,24;2,44;3,66;4,96;5,123;6,124;7,144;8,124;9,100;10,84;11,56;12,48;13,44;14,19;15,2
D5243 1,22;2,56;3,66;4,71;5,103;6,73;7,51;8,31;9,16;10,8;11,0;12,0;13,0;14,0;15,0
D6043 1,23;2,41;3,62;4,64;5,69;6,85;7,110;8,121;9,147;10,152;11,141;12,127;13,104;14,92;15,66
D6843 1,27;2,57;3,85;4,102;5,121;6,145;7,159;8,156;9,142;10,138;11,134;12,131;13,125;14,122;15,114
D7643 1,9;2,35;3,41;4,44;5,49;6,60;7,76;8,77;9,84;10,104;11,120;12,113;13,93;14,88;15,64
D8443 1,12;2,33;3,58;4,63;5,72;6,97;7,105;8,131;9,145;10,163;11,140;12,128;13,117;14,110;15,84
D9243 1,12;2,39;3,42;4,55;5,85;6,100;7,128;8,131;9,130;10,129;11,114;12,95;13,77;14,58;15,57
