@Ciudad
n=500
m=500
@Datos
d1=10
d2=10
dn=50
@Distritos
D21 1,14;2,36;3,37;4,45;5,64;6,72;7,88;8,96;9,112;10,117;11,142;12,146;13,151;14,173;15,198;16,210;17,235;18,263;19,267;20,272;21,288;22,289;23,301;24,306;25,332;26,348;27,364;28,378;29,392;30,393;31,401;32,397;33,371;34,343;35,324;36,317;37,289;38,271;39,249;40,230;41,221;42,214;43,200;44,181;45,166;46,145;47,143;48,125;49,116;50,104
D121 1,7;2,11;3,12;4,24;5,31;6,43;7,58;8,67;9,86;10,104;11,110;12,140;13,161;14,177;15,187;16,196;17,197;18,216;19,226;20,238;21,251;22,257;23,275;24,294;25,297;26,313;27,286;28,271;29,264;30,254;31,235;32,205;33,204;34,186;35,167;36,155;37,131;38,127;39,121;40,117;41,96;42,87;43,80;44,77;45,47;46,22;47,4;48,0;49,0;50,0
D221 1,22;2,31;3,52;4,60;5,71;6,75;7,100;8,109;9,117;10,140;11,158;12,184;13,207;14,221;15,233;16,248;17,270;18,279;19,281;20,302;21,309;22,334;23,341;24,353;25,371;26,389;27,396;28,415;29,438;30,440;31,441;32,422;33,411;34,386;35,385;36,367;37,349;38,328;39,312;40,291;41,270;42,269;43,254;44,249;45,244;46,216;47,193;48,178;49,156;50,145
D321 1,9;2,25;3,47;4,49;5,63;6,65;7,69;8,88;9,110;10,129;11,134;12,139;13,157;14,161;15,184;16,207;17,221;18,223;19,244;20,252;21,263;22,281;23,289;24,304;25,316;26,338;27,345;28,352;29,367;30,392;31,393;32,375;33,349;34,324;35,323;36,318;37,314;38,300;39,292;40,290;41,272;42,256;43,251;44,236;45,231;46,206;47,181;48,170;49,165;50,146
D421 1,4;2,5;3,35;4,60;5,90;6,103;7,115;8,136;9,145;10,172;11,194;12,224;13,246;14,256;15,260;16,266;17,273;18,283;19,301;20,311;21,314;22,342;23,348;24,370;25,377;26,405;27,399;28,389;29,380;30,364;31,346;32,322;33,295;34,265;35,253;36,223;37,222;38,221;39,206;40,200;41,181;42,159;43,135;44,126;45,108;46,90;47,63;48,47;49,28;50,0
D521 1,9;2,10;3,24;4,27;5,38;6,57;7,65;8,92;9,108;10,109;11,117;12,133;13,147;14,148;15,178;16,181;17,201;18,215;19,227;20,251;21,271;22,247;23,239;24,212;25,192;26,180;27,174;28,166;29,146;30,138;31,124;32,92;33,80;34,69;35,44;36,24;37,23;38,3;39,0;40,0;41,0;42,0;43,0;44,0;45,0;46,0;47,0;48,0;49,0;50,0
D621 1,4;2,25;3,39;4,41;5,64;6,78;7,85;8,90;9,112;10,138;11,149;12,165;13,174;14,186;15,209;16,224;17,228;18,242;19,251;20,255;21,273;22,285;23,301;24,305;25,328;26,354;27,366;28,394;29,409;30,431;31,453;32,434;33,427;34,402;35,388;36,363;37,340;38,325;39,316;40,304;41,297;42,282;43,267;44,258;45,240;46,221;47,200;48,196;49,191;50,176
D721 1,32;2,66;3,98;4,111;5,122;6,137;7,148;8,149;9,162;10,196;11,214;12,232;13,235;14,236;15,246;16,257;17,229;18,226;19,221;20,201;21,186;22,175;23,145;24,118;25,112;26,87;27,57;28,40;29,34;30,12;31,0;32,0;33,0;34,0;35,0;36,0;37,0;38,0;39,0;40,0;41,0;42,0;43,0;44,0;45,0;46,0;47,0;48,0;49,0;50,0
D821 1,4;2,13;3,15;4,30;5,37;6,52;7,74;8,79;9,107;10,135;11,146;12,174;13,190;14,192;15,201;16,223;17,227;18,245;19,266;20,275;21,301;22,303;23,329;24,340;25,358;26,376;27,384;28,388;29,389;30,401;31,424;32,416;33,400;34,379;35,365;36,349;37,334;38,322;39,308;40,290;41,272;42,271;43,257;44,256;45,244;46,240;47,217;48,208;49,201;50,178
D921 1,18;2,28;3,44;4,54;5,58;6,76;7,85;8,89;9,119;10,123;11,133;12,152;13,156;14,165;15,172;16,175;17,202;18,226;19,253;20,265;21,284;22,312;23,327;24,331;25,332;26,344;27,325;28,312;29,297;30,275;31,260;32,245;33,236;34,233;35,232;36,204;37,186;38,164;39,163;40,157;41,148;42,121;43,111;44,96;45,72;46,63;47,36;48,30;49,12;50,11
